2000,2,2
0,1,1.6839,4.5051
1,1,-2.9076,-2.9201
2,1,2.4018,2.9163
3,1,5.7708,-1.59
4,1,4.5077,3.4444
5,1,4.4028,-4.5037
6,1,3.3271,-3.7796
7,1,-3.0481,-4.7622
8,1,2.7807,-4.6509
9,1,4.438,1.5632
10,1,-2.5415,-3.2572
11,1,1.1573,-4.4122
12,1,4.3993,-4.5182
13,1,-1.64,-3.9762
14,1,5.2856,-0.15336
15,1,-3.7326,-3.3786
16,1,2.5676,-3.7994
17,1,3.292,3.1972
18,1,3.5036,-1.7201
19,1,5.0097,0.46222
20,1,2.7745,-4.1982
21,1,-5.1644,-2.1569
22,1,3.571,-2.1061
23,1,2.1416,5.1146
24,1,0.52187,-5.1482
25,1,5.9486,-0.68744
26,1,1.0743,-3.5038
27,1,3.9103,-4.2678
28,1,-2.2079,-5.4144
29,1,-1.3891,-4.2242
30,1,4.4239,-1.1795
31,1,3.2575,-3.5754
32,1,1.3296,-4.7759
33,1,2.7373,-3.8981
34,1,-0.92277,-5.8853
35,1,-0.73834,-3.8485
36,1,3.787,2.902
37,1,4.5256,-2.4287
38,1,3.9668,-4.4768
39,1,3.5364,4.6274
40,1,-0.53246,-3.5471
41,1,5.0139,2.5468
42,1,4.6486,-3.2762
43,1,5.3863,1.3003
44,1,2.4513,-5.0914
45,1,3.4692,-3.0885
46,1,5.7841,0.67155
47,1,2.4525,-3.4551
48,1,3.7452,3.7227
49,1,2.3161,-4.6002
50,1,-3.1512,-3.5644
51,1,0.60743,-5.3922
52,1,2.5757,-2.7988
53,1,-0.27998,-5.9766
54,1,-3.5267,-5.2132
55,1,2.6865,-4.7754
56,1,-4.8337,-4.4269
57,1,3.4603,-4.5931
58,1,-1.7549,-3.8439
59,1,3.6167,-1.7889
60,1,3.768,2.5356
61,1,3.5887,0.17759
62,1,1.4285,-4.848
63,1,4.3014,-2.771
64,1,2.7875,-4.093
65,1,4.3576,0.95859
66,1,-2.4388,-2.9765
67,1,0.3053,-5.6165
68,1,0.62024,-4.8688
69,1,5.5384,-2.9782
70,1,0.65255,-3.7669
71,1,4.3238,-1.6173
72,1,-4.0718,-2.3108
73,1,3.628,4.2053
74,1,3.8493,-2.5432
75,1,0.83236,-4.8905
76,1,-5.53,-3.3625
77,1,2.0787,-5.4629
78,1,2.1523,-5.0252
79,1,1.1748,-4.645
80,1,4.1011,1.5845
81,1,4.3,2.4504
82,1,3.241,-4.1007
83,1,5.9041,2.6426
84,1,2.6928,-3.3884
85,1,-2.9861,-4.7606
86,1,0.42402,-3.713
87,1,2.7215,3.1967
88,1,4.9727,2.1674
89,1,4.0973,-1.3071
90,1,-3.763,-2.8241
91,1,2.3622,-4.4549
92,1,4.6249,0.36342
93,1,6.3414,-0.055376
94,1,4.5253,0.21836
95,1,5.1769,-1.7329
96,1,-3.7972,-3.523
97,1,2.7717,-4.4553
98,1,4.6667,-0.97367
99,1,1.5476,-4.6356
100,1,1.178,-4.5151
101,1,3.5532,3.2556
102,1,4.9626,-1.0943
103,1,-3.2446,-2.379
104,1,-3.6498,-2.016
105,1,4.8492,1.4972
106,1,3.4376,0.77355
107,1,-2.1904,-5.2228
108,1,4.4191,-2.7389
109,1,-3.2827,-4.2081
110,1,4.6815,-2.6732
111,1,3.3898,-5.062
112,1,4.397,-1.6739
113,1,4.6896,-2.4084
114,1,5.2128,-3.0754
115,1,0.32259,-4.6965
116,1,-0.61774,-4.5875
117,1,4.8978,-1.2646
118,1,3.7224,-2.1021
119,1,5.362,-1.1905
120,1,4.1787,3.4856
121,1,-4.3076,-2.541
122,1,2.0375,-5.4095
123,1,3.6042,-0.94537
124,1,-4.6583,-2.8592
125,1,-0.41847,-3.9911
126,1,4.6776,-2.4777
127,1,5.2694,-0.726
128,1,3.7799,-3.4919
129,1,2.8265,2.5521
130,1,3.2366,-4.0155
131,1,-4.0949,-3.6511
132,1,4.5022,1.8876
133,1,-1.5163,-4.4358
134,1,-3.5239,-3.4831
135,1,-3.123,-3.1023
136,1,1.543,-3.8802
137,1,1.4992,-4.5385
138,1,-1.1648,-4.5454
139,1,3.5822,0.080889
140,1,2.131,5.1664
141,1,4.6539,-0.29193
142,1,2.5419,-4.292
143,1,5.0389,1.5749
144,1,-4.0646,-1.4859
145,1,3.1373,3.7975
146,1,4.7348,0.45197
147,1,3.3969,-4.3396
148,1,0.11664,-5.6311
149,1,-4.2376,-3.0968
150,1,-0.16075,-4.8529
151,1,-2.3543,-4.4106
152,1,2.1031,-4.7268
153,1,3.7919,-3.0452
154,1,-0.90096,-5.0215
155,1,3.9273,-1.7357
156,1,3.5923,3.2262
157,1,-3.6507,-2.6708
158,1,-0.71833,-4.927
159,1,2.4203,-5.1585
160,1,3.9415,-1.8186
161,1,2.5595,-4.6561
162,1,-4.266,-3.5919
163,1,-1.3764,-3.3573
164,1,-3.7937,-4.5112
165,1,3.46,2.5335
166,1,-2.0009,-5.2675
167,1,4.1185,-2.2255
168,1,6.2007,0.40613
169,1,1.8067,3.8085
170,1,-0.63149,-5.0769
171,1,-3.6936,-4.5563
172,1,2.6843,4.7837
173,1,5.3902,2.4585
174,1,-4.4462,-2.7302
175,1,4.7885,2.6614
176,1,-3.6892,-2.1752
177,1,4.7352,-0.52527
178,1,-3.9914,-3.3132
179,1,4.5011,0.19587
180,1,-1.2417,-5.5208
181,1,2.0533,4.1291
182,1,4.4095,2.6632
183,1,-2.6914,-4.0035
184,1,4.4935,-1.2624
185,1,2.9434,-4.9907
186,1,-0.61719,-4.8849
187,1,-3.6664,-2.3912
188,1,2.2011,3.764
189,1,3.1783,3.5275
190,1,4.4106,2.7419
191,1,-0.61708,-5.0339
192,1,3.941,1.8983
193,1,3.5991,-4.71
194,1,0.87194,-4.5812
195,1,-3.8834,-1.908
196,1,2.3461,-4.3998
197,1,5.1541,-0.99772
198,1,2.9895,-3.7785
199,1,2.721,-4.4578
200,1,-4.593,-2.6944
201,1,3.7703,2.2424
202,1,-3.2256,-2.0092
203,1,-3.5417,-3.9098
204,1,-3.6881,-3.0524
205,1,0.84991,-5.1489
206,1,-1.8786,-4.8082
207,1,3.9804,4.2704
208,1,3.3522,2.339
209,1,-2.0993,-6.3931
210,1,-2.772,-4.0208
211,1,4.7354,3.9029
212,1,-1.246,-6.3157
213,1,3.8771,0.18656
214,1,5.4469,1.7413
215,1,-1.9666,-4.6946
216,1,5.4239,-2.0255
217,1,1.5406,-6.2705
218,1,3.3127,4.7665
219,1,-0.71097,-4.5398
220,1,-4.8154,-2.2658
221,1,4.1235,-1.5205
222,1,3.1732,-3.4501
223,1,-1.9373,-3.9992
224,1,3.9981,3.169
225,1,-4.4145,-2.548
226,1,5.1861,1.5643
227,1,-0.074153,-4.6706
228,1,3.5636,-2.2143
229,1,0.66014,-4.3037
230,1,1.6619,-5.3066
231,1,4.1735,2.2153
232,1,0.98872,-4.6566
233,1,3.852,1.7866
234,1,-2.5333,-3.8619
235,1,2.4097,-4.6622
236,1,-2.9107,-3.7206
237,1,-3.3429,-2.2577
238,1,-2.4623,-4.0912
239,1,2.639,-4.5984
240,1,-2.9463,-4.5872
241,1,5.3125,1.6218
242,1,-4.0257,-3.0441
243,1,-4.5771,-2.0817
244,1,-3.6701,-3.6596
245,1,3.028,3.4878
246,1,1.7675,-4.0289
247,1,5.7335,-2.3622
248,1,1.4042,3.7426
249,1,-3.85,-1.7266
250,1,-1.3106,-4.6075
251,1,2.8902,3.4918
252,1,0.26128,-4.5183
253,1,4.0567,-0.51406
254,1,-4.4185,-2.0799
255,1,4.7981,4.881
256,1,1.9079,-5.5694
257,1,3.0523,-3.2237
258,1,5.3558,-2.6105
259,1,-3.6414,-4.1859
260,1,4.7762,-0.16416
261,1,3.6467,-3.5885
262,1,-3.4215,-2.1209
263,1,0.92481,-5.0967
264,1,2.2085,5.0682
265,1,4.153,-1.709
266,1,-2.1654,-4.2012
267,1,3.8216,-1.0868
268,1,-1.2243,-4.0637
269,1,-0.48837,-4.2674
270,1,5.2814,1.0374
271,1,-4.5363,-2.9434
272,1,4.3049,1.3495
273,1,-3.7818,-4.7953
274,1,6.2369,-1.6947
275,1,-2,-4.0001
276,1,5.6608,-2.6749
277,1,-3.9282,-2.4699
278,1,-2.7897,-2.8483
279,1,3.6416,1.9144
280,1,0.98814,-4.6343
281,1,5.083,3.3305
282,1,4.4304,-2.6231
283,1,2.6025,-4.403
284,1,2.5433,-3.0207
285,1,-1.8284,-4.5054
286,1,-2.1462,-5.3348
287,1,-4.0827,-3.1979
288,1,2.3444,-3.1817
289,1,4.3698,-2.1987
290,1,-4.5499,-2.1152
291,1,3.6164,2.743
292,1,2.2767,-4.7692
293,1,5.268,0.059372
294,1,-4.9114,-3.9218
295,1,1.08,-3.6617
296,1,3.9237,-2.0671
297,1,-3.9015,-2.6418
298,1,-0.72877,-4.956
299,1,2.9567,-4.9269
300,1,3.9903,4.6815
301,1,2.3252,3.9293
302,1,2.41,3.8865
303,1,2.5272,-3.706
304,1,4.627,0.8524
305,1,2.5985,3.281
306,1,4.9705,0.42021
307,1,4.5742,1.8052
308,1,4.3766,-0.061477
309,1,3.7284,-5.1427
310,1,-4.7175,-1.3296
311,1,5.8467,0.53658
312,1,4.4912,-1.9531
313,1,-4.4311,-1.0556
314,1,4.2084,-2.4522
315,1,-4.34,-0.22322
316,1,3.1716,-5.3987
317,1,-4.4466,-1.1597
318,1,3.2157,-3.744
319,1,3.9209,3.3385
320,1,5.348,-0.81948
321,1,0.12801,-5.2446
322,1,4.7511,-2.1355
323,1,-3.2565,-4.5973
324,1,3.3004,4.4726
325,1,5.0584,-2.4587
326,1,2.9096,-4.5149
327,1,-1.3869,-5.0517
328,1,0.08821,-5.4181
329,1,5.4191,-0.83585
330,1,-3.6856,-2.6368
331,1,3.9701,1.7748
332,1,-3.3053,-4.1661
333,1,5.4464,1.6145
334,1,5.3328,-2.1846
335,1,1.2876,4.0345
336,1,3.1677,-5.2715
